1000MERCIS,1000mercis
FORTIS BANQUE LUXEMBOURG SA,fortisbanqueluxembourgsa
FORTIS INVESTMENT MANAGEMENT SA AND SUBSIDIARIES,fortisinvestmentmanagementsaandsubsidiaries
FOUNTAINE PAJOT,fountainepajot
FRANCISCO PARTNERS,franciscopartners
FREELANCE.COM,freelancecom
FREY,frey
FROMAGERIES BEL,fromageriesbel
G7 ENTREPRISES,g7entreprises
GAMELOFT,gameloft
GANTOIS,gantois
GARDEIL,gardeil
GASCOGNE,gascogne
GAUMONT,gaumont
GDF SUEZ,gdfsuez
GECI AVIATION (EX-REIMS AVIATION INDUSTRIES),geciaviationexreimsaviationindustries
GECI INTERNATIONAL,geciinternational
GECIMED,gecimed
GECINA,gecina
GEMALTO,gemalto
GENERAL ELECTRIC,generalelectric
GENERALE DE SANTE,generaledesante
GENERIX GROUP,generixgroup
GENESYS SA,genesyssa
GENFIT,genfit
GENOWAY,genoway
GEODIS,geodis
GEOREX SA,georexsa
GERARD PERRIER,gerardperrier
GEVELOT S.A.,gevelotsa
GFI INFORMATIQUE,gfiinformatique
GIE PSA TRESORERIE,giepsatresorerie
GIFI,gifi
GILBERT DUPONT,gilbertdupont
GIORGIO FEDON & FIGLI S.P.A.,giorgiofedonfiglispa
GL EVENTS,glevents
GL TRADE,gltrade
GLOBAL BIOENERGIES,globalbioenergies
GLOBAL GRAPHICS,globalgraphics
GOLD BULLION SECURITIES LIMITED,goldbullionsecuritieslimited
GOLDMAN SACHS INTERNATIONAL,goldmansachsinternational
GRAINES VOLTZ,grainesvoltz
GRAS SAVOYE & CIE,grassavoyecie
GRENOBLOISE D'ELECTRONIQUE ET D'AUTOMATISMES,grenobloisedelectroniqueetdautomatismes
GROUP DEMOS,groupdemos
GROUPAMA,groupama
GROUPE ARES,groupeares
GROUPE BANQUE POPULAIRE PROVENCALE ET CORSE,groupebanquepopulaireprovencaleetcorse
GROUPE BENETEAU,groupebeneteau
GROUPE BFCM,groupebfcm
GROUPE BROSSARD,groupebrossard
GROUPE CAISSE D'EPARGNE,groupecaissedepargne
GROUPE CIC,groupecic
GROUPE CM5-CIC,groupecm5cic
GROUPE CREDIT COOPERATIF,groupecreditcooperatif
GROUPE CRIT,groupecrit
GROUPE DEMOS,groupedemos
GROUPE DIFFUSION PLUS,groupediffusionplus
GROUPE DLSI,groupedlsi
GROUPE DMS,groupedms
GROUPE EURILOGIC,groupeeurilogic
GROUPE EUROTUNEL SA,groupeeurotunelsa
GROUPE FLO,groupeflo
GROUPE GINGER,groupeginger
GROUPE GIROD,groupegirod
GROUPE GO SPORT,groupegosport
GROUPE GORGE SA,groupegorgesa
GROUPE GUILLIN,groupeguillin
GROUPE HF COMPANY,groupehfcompany
GROUPE JAJ,groupejaj
GROUPE JEMINI,groupejemini
GROUPE LIMAGRAIN HOLDING SA,groupelimagrainholdingsa
GROUPE LIMAGRAIN HOLDING SA,groupelimagrainholdingsa
GROUPE NORBERT DENTRESSANGLE,groupenorbertdentressangle
GROUPE OPEN,groupeopen
GROUPE PARTOUCHE,groupepartouche
GROUPE PROMEO,groupepromeo
GROUPE ROUGIER,grouperougier
GROUPE SCBSM,groupescbsm
GROUPE SECHILIENNE SIDEC,groupesechiliennesidec
GROUPE SILICOMP,groupesilicomp
GROUPE SPOREVER,groupesporever
GROUPE STERIA,groupesteria
GROUPE VIAL,groupevial
GUERBET,guerbet
GUILLEMOT CORPORATION,guillemotcorporation
GUY DEGRENNE,guydegrenne
GUYENNE ET GASCOGNE,guyenneetgascogne
HAMMERSON PLC,hammersonplc
HARVEST,harvest
HAULOTTE GROUP,haulottegroup
HAVAS,havas
HBOS PLC,hbosplc
HERMES INTERNATIONAL,hermesinternational
HEURTEY PETROCHEM,heurteypetrochem
HI-MEDIA,himedia
HIGHCO,highco
HIOLLE INDUSTRIES,hiolleindustries
HITECHPROSS,hitechpross
HOLOGRAM. INDUSTRIES,hologramindustries
HOMSYS GROUP,homsysgroup
HSBC BANK CANADA,hsbcbankcanada
HSBC BANK MALTA PLC,hsbcbankmaltaplc
HSBC BANK PLC,hsbcbankplc
HSBC COVERED BONDS,hsbccoveredbonds
HSBC FRANCE,hsbcfrance
HSBC HOLDINGS PLC,hsbcholdingsplc
HSBC SFH,hsbcsfh
HSBC TRINKAUS & BURKHARDT AG,hsbctrinkausburkhardtag
HUBWOO,hubwoo
HUIS CLOS,huisclos
HYBRIGENICS,hybrigenics
HYPARLO,hyparlo
I2S,i2s
ICADE,icade
IDEAL MEDICAL PRODUCTS,idealmedicalproducts
IDI,idi
IDS,ids
IDSUD,idsud
IEC PROFESSIONNEL MEDIA,iecprofessionnelmedia
IGE XAO,igexao
ILIAD,iliad
ILOG,ilog
IMERYS,imerys
IMMOBILIERE DASSAULT,immobilieredassault
IMS,ims
INDEX MULTIMEDIA,indexmultimedia
INFO VISTA,infovista
INFOGRAMES,infogrames
INFOTEL,infotel
ING BANK N.V,ingbanknv
INGENICO,ingenico
INITIATIVE & FINANCE INVESTISSEMENT,initiativefinanceinvestissement
INNATE PHARMA,innatepharma
INNELEC MULTIMEDIA,innelecmultimedia
INTEGRAGEN,integragen
INTERCALL,intercall
INTERNATIONAL TECHNOLOGIE SELECTION,internationaltechnologieselection
INTERPARFUMS,interparfums
INTRASENSE,intrasense
IPBM,ipbm
IPO,ipo
IPSEN SA,ipsensa
IPSOGEN,ipsogen
IPSOS,ipsos
IT LINK,itlink
ITESOFT,itesoft
ITS GROUP,itsgroup
JACQUET METALS,jacquetmetals
JCDECAUX SA,jcdecauxsa
JEANJEAN,jeanjean
JET MULTI MEDIA,jetmultimedia
KAUFMAN & BROAD SA,kaufmanbroadsa
KBC INTERNATIONALE FINANCIERINGSMAATSCHAPPIJ NV,kbcinternationalefinancieringsmaatschappijnv
KERING,kering
KEYRUS,keyrus
KIMOCE SA,kimocesa
KINDY,kindy
KINGFISHER PLC,kingfisherplc
KLEMURS,klemurs
KLEPIERRE,klepierre
KLM ROYAL DUTCH AIRLINES,klmroyaldutchairlines
KOMMUNALBANKEN AS,kommunalbankenas
KORIAN,korian
L'OREAL,loreal
LA BANQUE POSTALE,labanquepostale
LA CHAUSSERIA,lachausseria
LA POSTE,laposte
LABORATOIRE NPC,laboratoirenpc
LACIE,lacie
LACROIX,lacroix
LAFARGE,lafarge
LAFUMA,lafuma
LAGARDERE S.C.A.,lagarderesca
LAMARTHE,lamarthe
LANSON-BCC,lansonbcc
LAROCHE,laroche
LATECOERE,latecoere
LAURENT PERRIER,laurentperrier
LCL,lcl
LDC,ldc
LDLC.COM,ldlccom
LE BELIER,lebelier
LE TANNEUR & CIE,letanneurcie
LEAD MEDIA,leadmedia
LECTRA,lectra
LEGAL & GENERAL GROUP PLC (L&G),legalgeneralgroupplclg
LEGRAND,legrand
LEGUIDE.COM,leguidecom
LEON DE BRUXELLES,leondebruxelles
LES HOTELS DE PARIS,leshotelsdeparis
LES NOUVEAUX CONSTRUCTEURS,lesnouveauxconstructeurs
LET'S GOWEX,letsgowex
LEXIBOOK,lexibook
LINEDATA SERVICES,linedataservices
LISI,lisi
LLOYDS BANKING GROUP,lloydsbankinggroup
LOCINDUS,locindus
LOGIC INSTRUMENT,logicinstrument
LUCIA,lucia
LUNEAU TECHNOLOGY,luneautechnology
LVL MEDICAL GROUPE,lvlmedicalgroupe
LVMH,lvmh
LYCOS EUROPE N.V.,lycoseuropenv
LYONNAISE DE BANQUE,lyonnaisedebanque
MAESA,maesa
MAIRIE DE PARIS,mairiedeparis
MAISONS FRANCE CONFORT,maisonsfranceconfort
MAKEHIA GROUP,makehiagroup
MALTERIES FRANCO-BELGES,malteriesfrancobelges
MANITOU,manitou
MANPOWERGROUP,manpowergroup
MANUTAN INTERNATIONAL,manutaninternational
MARNIER LAPOSTOLLE,marnierlapostolle
MAROC TELECOM,maroctelecom
MASTRAD,mastrad
MAUREL ET PROM,maureletprom
MAUREL ET PROM NIGERIA,maureletpromnigeria
MAXIMILES,maximiles
MB RETAIL EUROPE,mbretaileurope
MECELEC TELECOMS,mecelectelecoms
MEDASYS,medasys
MEDCOST,medcost
MEDIA 365,media365
MEDIA 6,media6
MEDIAN TECHNOLOGIES,mediantechnologies
MEDICA,medica
MEDICREA,medicrea
MEETIC,meetic
MEILLEURTAUX.COM,meilleurtauxcom
MEMSCAP,memscap
MERCI+,merci
MERCIALYS,mercialys
MERILL LYNCH,merilllynch
MERRILL LYNCH INTERNATIONAL,merrilllynchinternational
MERRILL LYNCH INTERNATIONAL & CO. C.V.,merrilllynchinternationalcocv
MERRILL LYNCH SA,merrilllynchsa
MERSEN,mersen
METABOLIC EXPLORER,metabolicexplorer
METALEUROP,metaleurop
METAPHORA,metaphora
METROLOGIC GROUP,metrologicgroup
METROPOLE TELEVISION,metropoletelevision
MGI COUTIER,mgicoutier
MICHELIN,michelin
MICROPOLE (EX MICROPOLE UNIVERS),micropoleexmicropoleunivers
MILLET INNOVATION,milletinnovation
MILLIMAGES,millimages
MINDSCAPE,mindscape
MOBILE NETWORK GROUP,mobilenetworkgroup
MODELABS GROUP,modelabsgroup
MONTAIGNE FASHION GROUP,montaignefashiongroup
MORGAN STANLEY,morganstanley
MORGAN STANLEY & CO INTERNATIONAL PLC,morganstanleycointernationalplc
MORGAN STANLEY B.V.,morganstanleybv
MR BRICOLAGE,mrbricolage
MRM,mrm
NATIONAL AUSTRALIA BANK LIMITED,nationalaustraliabanklimited
NATIXIS,natixis
NATUREX,naturex
NEOPOST,neopost
NEOVACS,neovacs
NERGECO,nergeco
NET 2S SA,net2ssa
NETBOOSTER,netbooster
NETGEM,netgem
NETRA SYSTEMS,netrasystems
NEUF CEGETEL,neufcegetel
NEURONES,neurones
NEWSWEB,newsweb
NEXANS,nexans
NEXITY,nexity
NEXT RADIO TV,nextradiotv
NICOX,nicox
NORD EST,nordest
NOTREFAMILLE.COM,notrefamillecom
NOVACYT,novacyt
NOVAGALI PHARMA,novagalipharma
NRJ GROUP,nrjgroup
NSC GROUPE,nscgroupe
NSE INDUSTRIES,nseindustries
NYSE EURONEXT,nyseeuronext
OBER,ober
OBERTHUR CARD SYSTEMS,oberthurcardsystems
OCTO TECHNOLOGY,octotechnology
ODDO MIDCAP,oddomidcap
OENEO,oeneo
OFI PRIVATE EQUITY CAPITAL,ofiprivateequitycapital
OL GROUPE,olgroupe
ONA,ona
ONET,onet
ORANGE,orange
ORANGE,orange
ORAPI,orapi
ORCHESTRA,orchestra
ORCO PROPERTY GROUP SA,orcopropertygroupsa
OROLIA,orolia
OROSDI,orosdi
ORPEA,orpea
OSEO,oseo
OSIATIS,osiatis
OTOR,otor
OUTREMER TELECOM,outremertelecom
OUTSIDE LIVING INDUSTRIES,outsidelivingindustries
OVERLAP GROUPE,overlapgroupe
OXYMETAL,oxymetal
PAGESJAUNES GROUPE,pagesjaunesgroupe
PAREF,paref
PARFEX,parfex
PARIS RE HOLDINGS LIMITED,parisreholdingslimited
PARROT,parrot
PARTICIPEX,participex
PARTNERRE,partnerre
PASSAT,passat
PATRIMOINE ET COMMERCE,patrimoineetcommerce
PCAS,pcas
PERNOD RICARD,pernodricard
PETIT FORESTIER,petitforestier
PEUGEOT,peugeot
PGO AUTOMOBILES,pgoautomobiles
PHARMAGEST INTER@CTIVE,pharmagestinterctive
PHONE SYSTEMS & NETWORK,phonesystemsnetwork
PICOGIGA,picogiga
PIERRE & VACANCES,pierrevacances
PISCINES DESJOYAUX,piscinesdesjoyaux
PISCINES GROUPE GA,piscinesgroupega
PLASTIC OMNIUM,plasticomnium
PLASTIVALOIRE,plastivaloire
PONCIN YACHTS,poncinyachts
POWEO,poweo
PRECIA MOLEN,preciamolen
PREMIUM PLUS PLC,premiumplusplc
PRESS INDEX,pressindex
PRISMAFLEX INTERNATIONAL,prismaflexinternational
PRODEF,prodef
PROLOGUE,prologue
PROSERVIA,proservia
PROSODIE,prosodie
PROVENCE COTE D'AZUR,provencecotedazur
PROVIMI,provimi
PROXITEC,proxitec
PSA PEUGEOT CITROEN,psapeugeotcitroen
PSB INDUSTRIES,psbindustries
PUBLIC SYSTEME HOPSCOTCH,publicsystemehopscotch
PUBLICIS GROUPE,publicisgroupe
QUANTEL,quantel
QUOTIUM TECHNOLOGIES,quotiumtechnologies
R-SIIC,rsiic
R2I SANTE SA,r2isantesa
RABOBANK NEDERLAND,rabobanknederland
RADIALL,radiall
RALLYE,rallye
RATP,ratp
RCI BANQUE,rcibanque
REGIE AUTONOME DES TRANSPORTS PARISIENS - RATP,regieautonomedestransportsparisiensratp
REGION AUVERGNE,regionauvergne
REGION ILE DE FRANCE,regioniledefrance
REGION LIMOUSIN,regionlimousin
REGION PAYS DE LA LOIRE,regionpaysdelaloire
REGION PROVENCE COTE D'AZUR,regionprovencecotedazur
REMY COINTREAU,remycointreau
RENAULT,renault
REPONSE,reponse
RESEAU FERRE DE FRANCE,reseauferredefrance
REXEL,rexel
RHODIA,rhodia
RIBER SA,ribersa
RICHEL SERRES DE FRANCE,richelserresdefrance
RISC GROUP,riscgroup
ROBERTET,robertet
ROCAMAT,rocamat
RODRIGUEZ GROUP,rodriguezgroup
RTE EDF TRANSPORT,rteedftransport
RUBIS,rubis
RUE DU COMMERCE,rueducommerce
S.T. DUPONT,stdupont
SA CHEMINEES POUJOULAT,sachemineespoujoulat
SA COTTIN FRERES,sacottinfreres
SA HENRI MAIRE,sahenrimaire
SA LE GUIDE.COM,saleguidecom
SA LE NOBLE AGE,salenobleage
SABB,sabb
SABETON,sabeton
SAFE TIC,safetic
SAFRAN,safran
SAFT GROUPE,saftgroupe
SAINT GOBAIN,saintgobain
SAIRP COMPOSITES,sairpcomposites
SALVEPAR,salvepar
SAM,sam
SAMSE,samse
SANEF,sanef
SANOFI,sanofi
SAPMER,sapmer
SARTORIUS STEDIM BIOTECH,sartoriusstedimbiotech
SASA INDUSTRIE,sasaindustrie
SATIMO,satimo
SCHAEFFER-DUFOUR,schaefferdufour
SCHNEIDER ELECTRIC,schneiderelectric
SCOR SE,scorse
SCORPA,scorpa
SDR DE LA BRETAGNE,sdrdelabretagne
SEAGATE TECHNOLOGY,seagatetechnology
SEB SA,sebsa
SECHE ENVIRONNEMENT,secheenvironnement
SECHILIENNE SIDEC,sechiliennesidec
SECURASSET S.A,securassetsa
SECURIDEV,securidev
SEGRO PLC,segroplc
SELCODIS,selcodis
SELECTIRENTE,selectirente
SELOGER.COM,selogercom
SENIOR PLANET SA,seniorplanetsa
SEQUANA,sequana
SES,ses
SES ASTRA,sesastra
SES NEW SKIES,sesnewskies
SES WORLD SKIES,sesworldskies
SETFORGE,setforge
SG EFFEKTEN GMBH,sgeffektengmbh
SG ISSUER,sgissuer
SG OPTION EUROPE,sgoptioneurope
SGA SOCIETE GENERAL ACCEPTANCE N.V.,sgasocietegeneralacceptancenv
SHARP,sharp
SICAL,sical
SIGMA 22,sigma22
SII,sii
SIIC DE PARIS,siicdeparis
SIIC DE PARIS 8,siicdeparis8
SIICINVEST,siicinvest
SIPAREX CROISSANCE,siparexcroissance
SIRAGA,siraga
SLOUGH ESTATES PLC,sloughestatesplc
SMOBY MAJORETTE,smobymajorette
SMTPC,smtpc
SNCF,sncf
SOCIAL MIX MEDIA GROUP,socialmixmediagroup
SOCIETE ANONYME D'EXPLOSIFS ET DE PRODUITS CHIMIQUES,societeanonymedexplosifsetdeproduitschimiques
SOCIETE ANONYME DES DOCKS LYONNAIS,societeanonymedesdockslyonnais
SOCIETE BIC,societebic
SOCIETE CENTRALE DES BOIS ET SCIERIES DE LA MANCHE - SCBSM,societecentraledesboisetscieriesdelamanchescbsm
SOCIETE DE LA TOUR EIFFEL,societedelatoureiffel
SOCIETE DE TAYNINH,societedetayninh
SOCIETE DES HOTELS ET CASINO DE DEAUVILLE,societedeshotelsetcasinodedeauville
SOCIETE DES PRODUITS MARNIER LAPOSTOLLE,societedesproduitsmarnierlapostolle
SOCIETE FERMIERE DU CASINO MUNICIPAL DE CANNES,societefermiereducasinomunicipaldecannes
SOCIETE FINANCIERE DE COMMUNICATION ET DU MULTIMEDIA,societefinancieredecommunicationetdumultimedia
SOCIETE FONCIERE FINANCIERE ET DE PARTICIPATIONS - FFP,societefoncierefinanciereetdeparticipationsffp
SOCIETE FONCIERE LYONNAISE,societefoncierelyonnaise
SOCIETE FRANCAISE DE CASINOS,societefrancaisedecasinos
SOCIETE FRANCAISE EXXONMOBIL CHEMICAL,societefrancaiseexxonmobilchemical
SOCIETE GENERALE,societegenerale
SOCIETE GENERALE ACCEPTANCE N.V.,societegeneraleacceptancenv
SOCIETE GENERALE EFFEKTEN,societegeneraleeffekten
SOCIETE GENERALE EFFEKTEN GMBH,societegeneraleeffektengmbh
SOCIETE GENERALE FHF - SG FHF,societegeneralefhfsgfhf
SOCIETE GENERALE SCF,societegeneralescf
SOCIETE GENERALE SFH,societegeneralesfh
SOCIETE INTERNATIONALE DE PLANTATIONS D'HEVEAS,societeinternationaledeplantationsdheveas
SOCIETE REPONSE,societereponse
SODEXO,sodexo
SODIFRANCE,sodifrance
SODITECH INGENIERIE SA,soditechingenieriesa
SOFIBUS PATRIMOINE,sofibuspatrimoine
SOFINCO,sofinco
SOFT COMPUTING,softcomputing
SOGECLAIR,sogeclair
SOITEC,soitec
SOLUCOM,solucom
SOLVAY FINANCE,solvayfinance
SOLVING EFESO INTERNATIONAL,solvingefesointernational
SOMFY,somfy
SONY ERICSSON,sonyericsson
SOPRA GROUP,sopragroup
SOREFICO COIFFURE,soreficocoiffure
SOURCE COMMODITY  MARKETS PUBLIC  LIMITED,sourcecommoditymarketspubliclimited
SPERIAN PROTECTION,sperianprotection
SPIR COMMUNICATION,spircommunication
SPOREVER,sporever
SQLI,sqli
ST-ERICSSON,stericsson
STADE FINANCE A.R.L,stadefinancearl
STALLERGENES,stallergenes
STANDARD LIFE INVESTMENTS LTD,standardlifeinvestmentsltd
STEF-TFE,steftfe
STENTYS,stentys
STMICROELECTRONICS,stmicroelectronics
STORE ELECTRONIC SYSTEM SES,storeelectronicsystemses
STRATUS CAPITAL PUBLIC,stratuscapitalpublic
STREAM WIDE,streamwide
SUCRIERE PITHIVIERS LE VIEL,sucrierepithiviersleviel
SUEZ ENVIRONNEMENT,suezenvironnement
SUPRA,supra
SUPRA HOLDING,supraholding
SWORD GROUP,swordgroup
SYLIS,sylis
SYNERGIE,synergie
SYSTAR SA,systarsa
SYSTRAN SA,systransa
TEAM PARTNERS GROUP,teampartnersgroup
TECHNICOLOR,technicolor
TECHNILINE,techniline
TECHNIP,technip
TECHNOFLEX,technoflex
TEKKA,tekka
TELECOM ITALIA,telecomitalia
TELECOM RESEAUX SERVICES,telecomreseauxservices
TELEFONAKTIEBOLAGET LM ERICSSON,telefonaktiebolagetlmericsson
TELEFONICA SA,telefonicasa
TELEMEDIA GROUP,telemediagroup
TELEPERFORMANCE,teleperformance
TELEVISION FRANCAISE 1,televisionfrancaise1
TERREIS,terreis
TESSI,tessi
THALES,thales
THE BEAR STEARNS COMPANIES INC,thebearstearnscompaniesinc
THE MARKETINGROUP,themarketingroup
THE ROYAL BANK OF SCOTLAND - RBS,theroyalbankofscotlandrbs
THE ROYAL BANK OF SCOTLAND PLC,theroyalbankofscotlandplc
THEOLIA,theolia
THERMADOR GROUPE,thermadorgroupe
THERMOCOMPACT,thermocompact
TIPIAK,tipiak
TIVOLY,tivoly
TONNELLERIE FRANCOIS FRERES,tonnelleriefrancoisfreres
TOTAL,total
TOTAL CAPITAL,totalcapital
TOTAL CAPITAL CANADA LTD,totalcapitalcanadaltd
TOTAL CAPITAL INTERNATIONAL,totalcapitalinternational
TOTAL INFRASTRUCTURES GAZ FRANCE,totalinfrastructuresgazfrance
TOUAX SCA,touaxsca
TOUPARGEL GROUPE,toupargelgroupe
TRANSGENE,transgene
TRIGANO,trigano
TRILOGIQ,trilogiq
TXCOM,txcom
U10,u10
UBISOFT,ubisoft
UBS,ubs
UBS AG,ubsag
UBS AG,ubsag
UBS INVESTMENT BANK,ubsinvestmentbank
ULRIC DE VARENS,ulricdevarens
UMANIS,umanis
UNEDIC,unedic
UNIBAIL-RODAMCO,unibailrodamco
UNIBEL,unibel
UNICREDIT BANK AG,unicreditbankag
UNION FINANCIERE DE FRANCE BANQUE,unionfinancieredefrancebanque
UNION TECHNOLOGIES INFORMATIQUE GROUP - UTI GROUP,uniontechnologiesinformatiquegrouputigroup
UNITED TECHNOLOGIES CORPORATION,unitedtechnologiescorporation
VALEO,valeo
VALLOUREC,vallourec
VALTECH,valtech
VASTNED,vastned
VAUBAN MOBILISATIONS GARANTIES,vaubanmobilisationsgaranties
VDI GROUP,vdigroup
VECTRANE,vectrane
VEOLIA ENVIRONNEMENT,veoliaenvironnement
VERGNET GROUPE,vergnetgroupe
VERMANDOISE DE SUCRERIES,vermandoisedesucreries
VET AFFAIRES,vetaffaires
VETOQUINOL,vetoquinol
VIADOM,viadom
VICAT,vicat
VIDEOFUTUR,videofutur
VILMORIN & CIE,vilmorincie
VINCI,vinci
VIRBAC,virbac
VISIO NERF,visionerf
VIVALIS,vivalis
VIVENDI,vivendi
VM MATERIAUX,vmmateriaux
VOLKSWAGEN AKTIENGESELLSCHAFT,volkswagenaktiengesellschaft
VOLKSWAGEN INTERNATIONAL FINANCE N.V.,volkswageninternationalfinancenv
VOYAGEURS DU MONDE,voyageursdumonde
VRANKEN-POMMERY MONOPOLE,vrankenpommerymonopole
WAREHOUSES WITH BRAINS,warehouseswithbrains
WDP,wdp
WEBORAMA,weborama
WENDEL,wendel
WERELDHAVE,wereldhave
WESSANEN FRANCE HOLDING,wessanenfranceholding
XILAM,xilam
XIRING,xiring
YACHTS COUACH,yachtscouach
ZODIAC,zodiac
ZUBLIN IMMOBILIERE FRANCE,zublinimmobilierefrance

